# Forces          
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# Time            forces(pressure viscous porous)	moments(pressure viscous porous)
0.001             	((1.8755837069e-03 -6.9997736913e-03 -1.3218288304e-20) (3.7792236574e-03 1.0126399272e-03 2.8157668311e-04) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((-1.8911391731e-22 7.0578274784e-22 -1.0868210358e-03) (1.8530909223e-05 -6.9158294730e-05 2.8023849664e-14) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.002             	((1.4372616693e-03 -5.3639335750e-03 -1.1046264493e-20) (2.9452994552e-03 7.8919061030e-04 -5.0954187853e-04) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((-2.8006174439e-22 1.0452046594e-21 -6.5608072172e-04) (-3.9789518826e-05 1.4849650586e-04 -1.9096976491e-14) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.003             	((1.9345414871e-03 -7.2198071218e-03 -1.0275757662e-20) (2.5853732722e-03 6.9274868022e-04 -9.2367141873e-04) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((-1.3645681228e-22 5.0926375646e-22 -1.2300489273e-03) (-3.2474842105e-05 1.2119776070e-04 -6.7481586225e-14) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.004             	((2.3775192934e-03 -8.8730227990e-03 -2.0903577775e-20) (5.6492795208e-03 1.5137198848e-03 3.1612887284e-05) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((-4.6507365180e-23 1.7356784982e-22 -1.3502478026e-03) (1.3298983843e-05 -4.9632483387e-05 -1.3537715874e-13) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.005             	((2.3073899948e-03 -8.6112966966e-03 -1.7672548059e-20) (3.3203525352e-03 8.8968578036e-04 -6.9999208202e-04) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((-2.3910100479e-22 8.9233709806e-22 -1.3201171371e-03) (-3.3939985918e-05 1.2666575185e-04 -1.2375631485e-14) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.006             	((2.0740166964e-03 -7.7403356921e-03 -1.2115978758e-20) (4.0516818186e-03 1.0856448702e-03 4.0897710074e-04) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((1.9431853535e-22 -7.2520664680e-22 -1.1181942643e-03) (1.2931801571e-05 -4.8262140491e-05 -2.5618835522e-13) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.007             	((2.6463732798e-03 -9.8763995405e-03 -4.7719459572e-21) (4.7659843790e-03 1.2770416651e-03 -5.3231777848e-05) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((4.1147499948e-22 -1.5356456040e-21 -1.4459641783e-03) (-2.0514131987e-05 7.6559782850e-05 -1.0353692460e-13) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.008             	((2.3003493868e-03 -8.5850207875e-03 -1.3020214588e-20) (2.9627048852e-03 7.9385438129e-04 3.8225832326e-05) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((-2.1390610135e-22 7.9830843834e-22 -1.2751219278e-03) (-1.4776113251e-05 5.5145205393e-05 -3.0545665178e-14) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.009             	((1.8467260659e-03 -6.8920755055e-03 -2.5894376358e-20) (4.1098760327e-03 1.1012379638e-03 -1.3975658924e-04) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((-5.5006512005e-22 2.0528709755e-21 -9.4325175750e-04) (-2.0901263327e-05 7.8004576677e-05 -4.7477370311e-14) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
0.01              	((1.7815433431e-03 -6.6488102739e-03 -1.2167627157e-20) (2.9611960713e-03 7.9345009583e-04 -7.2993871139e-04) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)) ((-3.6142407629e-22 1.3488530158e-21 -1.0473592545e-03) (-3.1377985827e-05 1.1710423734e-04 1.7373052377e-14) (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00))
